family,direction,layer,alpha,target_rate,unsteered
py_self_name,nat2alt,24,1.0,0.06,0.0
py_self_name,nat2alt,24,2.0,0.34,0.0
py_self_name,nat2alt,24,4.0,0.78,0.0
py_self_name,nat2alt,25,0.5,0.0,0.0
py_self_name,nat2alt,25,1.0,0.0,0.0
py_self_name,nat2alt,25,2.0,0.06,0.0
py_self_name,nat2alt,25,4.0,0.26,0.0
py_self_name,nat2alt,26,0.5,0.0,0.0
py_self_name,nat2alt,26,1.0,0.02,0.0
py_self_name,nat2alt,26,2.0,0.04,0.0
py_self_name,nat2alt,26,4.0,0.14,0.0
py_self_name,nat2alt,27,0.5,0.0,0.0
py_self_name,nat2alt,27,1.0,0.0,0.0
py_self_name,nat2alt,27,2.0,0.0,0.0
py_self_name,nat2alt,27,4.0,0.0,0.0
py_snake_camel,alt2nat,0,0.5,0.0,0.02
py_snake_camel,alt2nat,0,1.0,0.96,0.02
py_snake_camel,alt2nat,0,2.0,0.74,0.02
py_snake_camel,alt2nat,0,4.0,0.96,0.02
py_snake_camel,alt2nat,1,0.5,0.42,0.02
py_snake_camel,alt2nat,1,1.0,0.96,0.02
py_snake_camel,alt2nat,1,2.0,0.72,0.02
py_snake_camel,alt2nat,1,4.0,0.54,0.02
py_snake_camel,alt2nat,2,0.5,0.18,0.02
py_snake_camel,alt2nat,2,1.0,0.98,0.02
py_snake_camel,alt2nat,2,2.0,0.98,0.02
py_snake_camel,alt2nat,2,4.0,0.16,0.02
py_snake_camel,alt2nat,3,0.5,0.18,0.02
py_snake_camel,alt2nat,3,1.0,0.98,0.02
py_snake_camel,alt2nat,3,2.0,1.0,0.02
py_snake_camel,alt2nat,3,4.0,0.26,0.02
py_snake_camel,alt2nat,4,0.5,0.08,0.02
py_snake_camel,alt2nat,4,1.0,0.98,0.02
py_snake_camel,alt2nat,4,2.0,0.98,0.02
py_snake_camel,alt2nat,4,4.0,0.94,0.02
py_snake_camel,alt2nat,5,0.5,0.08,0.02
py_snake_camel,alt2nat,5,1.0,0.94,0.02
py_snake_camel,alt2nat,5,2.0,0.98,0.02
py_snake_camel,alt2nat,5,4.0,0.2,0.02
py_snake_camel,alt2nat,6,0.5,0.12,0.02
py_snake_camel,alt2nat,6,1.0,0.94,0.02
py_snake_camel,alt2nat,6,2.0,1.0,0.02
py_snake_camel,alt2nat,6,4.0,0.66,0.02
py_snake_camel,alt2nat,7,0.5,0.08,0.02
py_snake_camel,alt2nat,7,1.0,0.96,0.02
py_snake_camel,alt2nat,7,2.0,0.98,0.02
py_snake_camel,alt2nat,7,4.0,0.82,0.02
py_snake_camel,alt2nat,8,0.5,0.16,0.02
py_snake_camel,alt2nat,8,1.0,0.94,0.02
py_snake_camel,alt2nat,8,2.0,1.0,0.02
py_snake_camel,alt2nat,8,4.0,0.88,0.02
py_snake_camel,alt2nat,9,0.5,0.14,0.02
py_snake_camel,alt2nat,9,1.0,0.86,0.02
py_snake_camel,alt2nat,9,2.0,1.0,0.02
py_snake_camel,alt2nat,9,4.0,0.98,0.02
py_snake_camel,alt2nat,10,0.5,0.12,0.02
py_snake_camel,alt2nat,10,1.0,0.94,0.02
py_snake_camel,alt2nat,10,2.0,0.98,0.02
py_snake_camel,alt2nat,10,4.0,1.0,0.02
py_snake_camel,alt2nat,11,0.5,0.12,0.02
py_snake_camel,alt2nat,11,1.0,0.92,0.02
py_snake_camel,alt2nat,11,2.0,0.98,0.02
py_snake_camel,alt2nat,11,4.0,1.0,0.02
py_snake_camel,alt2nat,12,0.5,0.14,0.02
py_snake_camel,alt2nat,12,1.0,0.94,0.02
py_snake_camel,alt2nat,12,2.0,1.0,0.02
py_snake_camel,alt2nat,12,4.0,1.0,0.02
py_snake_camel,alt2nat,13,0.5,0.14,0.02
py_snake_camel,alt2nat,13,1.0,0.96,0.02
py_snake_camel,alt2nat,13,2.0,1.0,0.02
py_snake_camel,alt2nat,13,4.0,0.96,0.02
py_snake_camel,alt2nat,14,0.5,0.1,0.02
py_snake_camel,alt2nat,14,1.0,0.92,0.02
py_snake_camel,alt2nat,14,2.0,0.98,0.02
py_snake_camel,alt2nat,14,4.0,0.96,0.02
py_snake_camel,alt2nat,15,0.5,0.16,0.02
py_snake_camel,alt2nat,15,1.0,0.96,0.02
py_snake_camel,alt2nat,15,2.0,0.98,0.02
py_snake_camel,alt2nat,15,4.0,1.0,0.02
py_snake_camel,alt2nat,16,0.5,0.08,0.02
py_snake_camel,alt2nat,16,1.0,0.94,0.02
py_snake_camel,alt2nat,16,2.0,1.0,0.02
py_snake_camel,alt2nat,16,4.0,0.98,0.02
py_snake_camel,alt2nat,17,0.5,0.06,0.02
py_snake_camel,alt2nat,17,1.0,0.92,0.02
py_snake_camel,alt2nat,17,2.0,1.0,0.02
py_snake_camel,alt2nat,17,4.0,0.96,0.02
py_snake_camel,alt2nat,18,0.5,0.1,0.02
py_snake_camel,alt2nat,18,1.0,0.86,0.02
py_snake_camel,alt2nat,18,2.0,1.0,0.02
py_snake_camel,alt2nat,18,4.0,0.78,0.02
py_snake_camel,alt2nat,19,0.5,0.12,0.02
py_snake_camel,alt2nat,19,1.0,0.82,0.02
py_snake_camel,alt2nat,19,2.0,0.98,0.02
py_snake_camel,alt2nat,19,4.0,0.34,0.02
py_snake_camel,alt2nat,20,0.5,0.06,0.02
py_snake_camel,alt2nat,20,1.0,0.86,0.02
py_snake_camel,alt2nat,20,2.0,0.98,0.02
py_snake_camel,alt2nat,20,4.0,0.46,0.02
py_snake_camel,alt2nat,21,0.5,0.02,0.02
py_snake_camel,alt2nat,21,1.0,0.58,0.02
py_snake_camel,alt2nat,21,2.0,0.86,0.02
py_snake_camel,alt2nat,21,4.0,0.2,0.02
py_snake_camel,alt2nat,22,0.5,0.06,0.02
py_snake_camel,alt2nat,22,1.0,0.52,0.02
py_snake_camel,alt2nat,22,2.0,0.8,0.02
py_snake_camel,alt2nat,22,4.0,0.84,0.02
py_snake_camel,alt2nat,23,0.5,0.02,0.02
py_snake_camel,alt2nat,23,1.0,0.08,0.02
py_snake_camel,alt2nat,23,2.0,0.14,0.02
py_snake_camel,alt2nat,23,4.0,0.1,0.02
py_snake_camel,alt2nat,24,0.5,0.06,0.02
py_snake_camel,alt2nat,24,1.0,0.08,0.02
py_snake_camel,alt2nat,24,2.0,0.32,0.02
py_snake_camel,alt2nat,24,4.0,0.72,0.02
py_snake_camel,alt2nat,25,0.5,0.02,0.02
py_snake_camel,alt2nat,25,1.0,0.0,0.02
py_snake_camel,alt2nat,25,2.0,0.04,0.02
py_snake_camel,alt2nat,25,4.0,0.02,0.02
py_snake_camel,alt2nat,26,0.5,0.04,0.02
py_snake_camel,alt2nat,26,1.0,0.0,0.02
py_snake_camel,alt2nat,26,2.0,0.0,0.02
py_snake_camel,alt2nat,26,4.0,0.02,0.02
py_snake_camel,alt2nat,27,0.5,0.02,0.02
py_snake_camel,alt2nat,27,1.0,0.02,0.02
py_snake_camel,alt2nat,27,2.0,0.02,0.02
py_snake_camel,alt2nat,27,4.0,0.0,0.02
py_snake_camel,nat2alt,0,0.5,0.56,0.0
py_snake_camel,nat2alt,0,1.0,0.98,0.0
py_snake_camel,nat2alt,0,2.0,0.98,0.0
py_snake_camel,nat2alt,0,4.0,0.62,0.0
py_snake_camel,nat2alt,1,0.5,0.2,0.0
py_snake_camel,nat2alt,1,1.0,0.98,0.0
py_snake_camel,nat2alt,1,2.0,0.64,0.0
py_snake_camel,nat2alt,1,4.0,0.06,0.0
py_snake_camel,nat2alt,2,0.5,0.3,0.0
py_snake_camel,nat2alt,2,1.0,0.96,0.0
py_snake_camel,nat2alt,2,2.0,0.96,0.0
py_snake_camel,nat2alt,2,4.0,0.92,0.0
py_snake_camel,nat2alt,3,0.5,0.42,0.0
py_snake_camel,nat2alt,3,1.0,0.98,0.0
py_snake_camel,nat2alt,3,2.0,0.94,0.0
py_snake_camel,nat2alt,3,4.0,0.18,0.0
py_snake_camel,nat2alt,4,0.5,0.56,0.0
py_snake_camel,nat2alt,4,1.0,1.0,0.0
py_snake_camel,nat2alt,4,2.0,0.96,0.0
py_snake_camel,nat2alt,4,4.0,1.0,0.0
py_snake_camel,nat2alt,5,0.5,0.58,0.0
py_snake_camel,nat2alt,5,1.0,0.94,0.0
py_snake_camel,nat2alt,5,2.0,1.0,0.0
py_snake_camel,nat2alt,5,4.0,0.86,0.0
py_snake_camel,nat2alt,6,0.5,0.46,0.0
py_snake_camel,nat2alt,6,1.0,0.98,0.0
py_snake_camel,nat2alt,6,2.0,1.0,0.0
py_snake_camel,nat2alt,6,4.0,1.0,0.0
py_snake_camel,nat2alt,7,0.5,0.34,0.0
py_snake_camel,nat2alt,7,1.0,0.98,0.0
py_snake_camel,nat2alt,7,2.0,0.96,0.0
py_snake_camel,nat2alt,7,4.0,1.0,0.0
py_snake_camel,nat2alt,8,0.5,0.26,0.0
py_snake_camel,nat2alt,8,1.0,1.0,0.0
py_snake_camel,nat2alt,8,2.0,0.96,0.0
py_snake_camel,nat2alt,8,4.0,0.98,0.0
py_snake_camel,nat2alt,9,0.5,0.36,0.0
py_snake_camel,nat2alt,9,1.0,1.0,0.0
py_snake_camel,nat2alt,9,2.0,0.96,0.0
py_snake_camel,nat2alt,9,4.0,0.96,0.0
py_snake_camel,nat2alt,10,0.5,0.3,0.0
py_snake_camel,nat2alt,10,1.0,0.96,0.0
py_snake_camel,nat2alt,10,2.0,0.96,0.0
py_snake_camel,nat2alt,10,4.0,0.96,0.0
py_snake_camel,nat2alt,11,0.5,0.14,0.0
py_snake_camel,nat2alt,11,1.0,0.96,0.0
py_snake_camel,nat2alt,11,2.0,0.96,0.0
py_snake_camel,nat2alt,11,4.0,0.94,0.0
py_snake_camel,nat2alt,12,0.5,0.22,0.0
py_snake_camel,nat2alt,12,1.0,0.98,0.0
py_snake_camel,nat2alt,12,2.0,0.96,0.0
py_snake_camel,nat2alt,12,4.0,0.94,0.0
py_snake_camel,nat2alt,13,0.5,0.24,0.0
py_snake_camel,nat2alt,13,1.0,0.96,0.0
py_snake_camel,nat2alt,13,2.0,0.98,0.0
py_snake_camel,nat2alt,13,4.0,0.98,0.0
py_snake_camel,nat2alt,14,0.5,0.36,0.0
py_snake_camel,nat2alt,14,1.0,0.94,0.0
py_snake_camel,nat2alt,14,2.0,0.98,0.0
py_snake_camel,nat2alt,14,4.0,0.98,0.0
py_snake_camel,nat2alt,15,0.5,0.26,0.0
py_snake_camel,nat2alt,15,1.0,0.96,0.0
py_snake_camel,nat2alt,15,2.0,0.98,0.0
py_snake_camel,nat2alt,15,4.0,0.96,0.0
py_snake_camel,nat2alt,16,0.5,0.26,0.0
py_snake_camel,nat2alt,16,1.0,0.9,0.0
py_snake_camel,nat2alt,16,2.0,1.0,0.0
py_snake_camel,nat2alt,16,4.0,0.92,0.0
py_snake_camel,nat2alt,17,0.5,0.3,0.0
py_snake_camel,nat2alt,17,1.0,0.94,0.0
py_snake_camel,nat2alt,17,2.0,1.0,0.0
py_snake_camel,nat2alt,17,4.0,0.94,0.0
py_snake_camel,nat2alt,18,0.5,0.28,0.0
py_snake_camel,nat2alt,18,1.0,0.96,0.0
py_snake_camel,nat2alt,18,2.0,0.94,0.0
py_snake_camel,nat2alt,18,4.0,0.92,0.0
py_snake_camel,nat2alt,19,0.5,0.32,0.0
py_snake_camel,nat2alt,19,1.0,0.94,0.0
py_snake_camel,nat2alt,19,2.0,0.98,0.0
py_snake_camel,nat2alt,19,4.0,0.28,0.0
py_snake_camel,nat2alt,20,0.5,0.12,0.0
py_snake_camel,nat2alt,20,1.0,0.9,0.0
py_snake_camel,nat2alt,20,2.0,0.96,0.0
py_snake_camel,nat2alt,20,4.0,0.2,0.0
py_snake_camel,nat2alt,21,0.5,0.02,0.0
py_snake_camel,nat2alt,21,1.0,0.76,0.0
py_snake_camel,nat2alt,21,2.0,0.48,0.0
py_snake_camel,nat2alt,21,4.0,0.0,0.0
py_snake_camel,nat2alt,22,0.5,0.0,0.0
py_snake_camel,nat2alt,22,1.0,0.54,0.0
py_snake_camel,nat2alt,22,2.0,0.7,0.0
py_snake_camel,nat2alt,22,4.0,0.66,0.0
py_snake_camel,nat2alt,23,0.5,0.0,0.0
py_snake_camel,nat2alt,23,1.0,0.0,0.0
py_snake_camel,nat2alt,23,2.0,0.02,0.0
py_snake_camel,nat2alt,23,4.0,0.0,0.0
py_snake_camel,nat2alt,24,0.5,0.0,0.0
py_snake_camel,nat2alt,24,1.0,0.04,0.0
py_snake_camel,nat2alt,24,2.0,0.34,0.0
py_snake_camel,nat2alt,24,4.0,1.0,0.0
py_snake_camel,nat2alt,25,0.5,0.0,0.0
py_snake_camel,nat2alt,25,1.0,0.0,0.0
py_snake_camel,nat2alt,25,2.0,0.0,0.0
py_snake_camel,nat2alt,25,4.0,0.0,0.0
py_snake_camel,nat2alt,26,0.5,0.0,0.0
py_snake_camel,nat2alt,26,1.0,0.0,0.0
py_snake_camel,nat2alt,26,2.0,0.0,0.0
py_snake_camel,nat2alt,26,4.0,0.0,0.0
py_snake_camel,nat2alt,27,0.5,0.0,0.0
py_snake_camel,nat2alt,27,1.0,0.0,0.0
py_snake_camel,nat2alt,27,2.0,0.0,0.0
py_snake_camel,nat2alt,27,4.0,0.02,0.0
py_tabs,alt2nat,0,0.5,0.02,0.0
py_tabs,alt2nat,0,1.0,0.42,0.0
py_tabs,alt2nat,0,2.0,0.56,0.0
py_tabs,alt2nat,0,4.0,0.78,0.0
py_tabs,alt2nat,1,0.5,0.02,0.0
py_tabs,alt2nat,1,1.0,0.52,0.0
py_tabs,alt2nat,1,2.0,0.72,0.0
py_tabs,alt2nat,1,4.0,0.78,0.0
py_tabs,alt2nat,2,0.5,0.0,0.0
py_tabs,alt2nat,2,1.0,0.66,0.0
py_tabs,alt2nat,2,2.0,0.82,0.0
py_tabs,alt2nat,2,4.0,0.68,0.0
py_tabs,alt2nat,3,0.5,0.0,0.0
py_tabs,alt2nat,3,1.0,0.22,0.0
py_tabs,alt2nat,3,2.0,0.78,0.0
py_tabs,alt2nat,3,4.0,0.8,0.0
py_tabs,alt2nat,4,0.5,0.0,0.0
py_tabs,alt2nat,4,1.0,0.26,0.0
py_tabs,alt2nat,4,2.0,0.78,0.0
py_tabs,alt2nat,4,4.0,0.66,0.0
py_tabs,alt2nat,5,0.5,0.0,0.0
py_tabs,alt2nat,5,1.0,0.08,0.0
py_tabs,alt2nat,5,2.0,0.78,0.0
py_tabs,alt2nat,5,4.0,0.74,0.0
py_tabs,alt2nat,6,0.5,0.02,0.0
py_tabs,alt2nat,6,1.0,0.02,0.0
py_tabs,alt2nat,6,2.0,0.4,0.0
py_tabs,alt2nat,6,4.0,0.74,0.0
py_tabs,alt2nat,7,0.5,0.0,0.0
py_tabs,alt2nat,7,1.0,0.02,0.0
py_tabs,alt2nat,7,2.0,0.32,0.0
py_tabs,alt2nat,7,4.0,0.64,0.0
py_tabs,alt2nat,8,0.5,0.0,0.0
py_tabs,alt2nat,8,1.0,0.02,0.0
py_tabs,alt2nat,8,2.0,0.36,0.0
py_tabs,alt2nat,8,4.0,0.64,0.0
py_tabs,alt2nat,9,0.5,0.0,0.0
py_tabs,alt2nat,9,1.0,0.02,0.0
py_tabs,alt2nat,9,2.0,0.36,0.0
py_tabs,alt2nat,9,4.0,0.5,0.0
py_tabs,alt2nat,10,0.5,0.0,0.0
py_tabs,alt2nat,10,1.0,0.02,0.0
py_tabs,alt2nat,10,2.0,0.42,0.0
py_tabs,alt2nat,10,4.0,0.6,0.0
py_tabs,alt2nat,11,0.5,0.0,0.0
py_tabs,alt2nat,11,1.0,0.06,0.0
py_tabs,alt2nat,11,2.0,0.38,0.0
py_tabs,alt2nat,11,4.0,0.62,0.0
py_tabs,alt2nat,12,0.5,0.0,0.0
py_tabs,alt2nat,12,1.0,0.0,0.0
py_tabs,alt2nat,12,2.0,0.34,0.0
py_tabs,alt2nat,12,4.0,0.5,0.0
py_tabs,alt2nat,13,0.5,0.0,0.0
py_tabs,alt2nat,13,1.0,0.04,0.0
py_tabs,alt2nat,13,2.0,0.3,0.0
py_tabs,alt2nat,13,4.0,0.58,0.0
py_tabs,alt2nat,14,0.5,0.0,0.0
py_tabs,alt2nat,14,1.0,0.02,0.0
py_tabs,alt2nat,14,2.0,0.32,0.0
py_tabs,alt2nat,14,4.0,0.56,0.0
py_tabs,alt2nat,15,0.5,0.0,0.0
py_tabs,alt2nat,15,1.0,0.02,0.0
py_tabs,alt2nat,15,2.0,0.36,0.0
py_tabs,alt2nat,15,4.0,0.58,0.0
py_tabs,alt2nat,16,0.5,0.0,0.0
py_tabs,alt2nat,16,1.0,0.04,0.0
py_tabs,alt2nat,16,2.0,0.34,0.0
py_tabs,alt2nat,16,4.0,0.52,0.0
py_tabs,alt2nat,17,0.5,0.0,0.0
py_tabs,alt2nat,17,1.0,0.0,0.0
py_tabs,alt2nat,17,2.0,0.38,0.0
py_tabs,alt2nat,17,4.0,0.54,0.0
py_tabs,alt2nat,18,0.5,0.0,0.0
py_tabs,alt2nat,18,1.0,0.04,0.0
py_tabs,alt2nat,18,2.0,0.3,0.0
py_tabs,alt2nat,18,4.0,0.4,0.0
py_tabs,alt2nat,19,0.5,0.0,0.0
py_tabs,alt2nat,19,1.0,0.04,0.0
py_tabs,alt2nat,19,2.0,0.3,0.0
py_tabs,alt2nat,19,4.0,0.42,0.0
py_tabs,alt2nat,20,0.5,0.0,0.0
py_tabs,alt2nat,20,1.0,0.02,0.0
py_tabs,alt2nat,20,2.0,0.34,0.0
py_tabs,alt2nat,20,4.0,0.44,0.0
py_tabs,alt2nat,21,0.5,0.0,0.0
py_tabs,alt2nat,21,1.0,0.06,0.0
py_tabs,alt2nat,21,2.0,0.32,0.0
py_tabs,alt2nat,21,4.0,0.5,0.0
py_tabs,alt2nat,22,0.5,0.0,0.0
py_tabs,alt2nat,22,1.0,0.04,0.0
py_tabs,alt2nat,22,2.0,0.28,0.0
py_tabs,alt2nat,22,4.0,0.56,0.0
py_tabs,alt2nat,23,0.5,0.0,0.0
py_tabs,alt2nat,23,1.0,0.0,0.0
py_tabs,alt2nat,23,2.0,0.1,0.0
py_tabs,alt2nat,23,4.0,0.34,0.0
py_tabs,alt2nat,24,0.5,0.0,0.0
py_tabs,alt2nat,24,1.0,0.0,0.0
py_tabs,alt2nat,24,2.0,0.02,0.0
py_tabs,alt2nat,24,4.0,0.26,0.0
py_tabs,alt2nat,25,0.5,0.0,0.0
py_tabs,alt2nat,25,1.0,0.0,0.0
py_tabs,alt2nat,25,2.0,0.0,0.0
py_tabs,alt2nat,25,4.0,0.0,0.0
py_tabs,alt2nat,26,0.5,0.0,0.0
py_tabs,alt2nat,26,1.0,0.0,0.0
py_tabs,alt2nat,26,2.0,0.02,0.0
py_tabs,alt2nat,26,4.0,0.0,0.0
py_tabs,alt2nat,27,0.5,0.0,0.0
py_tabs,alt2nat,27,1.0,0.0,0.0
py_tabs,alt2nat,27,2.0,0.0,0.0
py_tabs,alt2nat,27,4.0,0.0,0.0
py_tabs,nat2alt,0,0.5,0.0,0.0
py_tabs,nat2alt,0,1.0,0.06,0.0
py_tabs,nat2alt,0,2.0,0.92,0.0
py_tabs,nat2alt,0,4.0,0.74,0.0
py_tabs,nat2alt,1,0.5,0.0,0.0
py_tabs,nat2alt,1,1.0,0.48,0.0
py_tabs,nat2alt,1,2.0,0.68,0.0
py_tabs,nat2alt,1,4.0,0.16,0.0
py_tabs,nat2alt,2,0.5,0.0,0.0
py_tabs,nat2alt,2,1.0,0.58,0.0
py_tabs,nat2alt,2,2.0,0.92,0.0
py_tabs,nat2alt,2,4.0,0.92,0.0
py_tabs,nat2alt,3,0.5,0.0,0.0
py_tabs,nat2alt,3,1.0,0.48,0.0
py_tabs,nat2alt,3,2.0,0.92,0.0
py_tabs,nat2alt,3,4.0,0.18,0.0
py_tabs,nat2alt,4,0.5,0.0,0.0
py_tabs,nat2alt,4,1.0,0.44,0.0
py_tabs,nat2alt,4,2.0,0.96,0.0
py_tabs,nat2alt,4,4.0,0.1,0.0
py_tabs,nat2alt,5,0.5,0.0,0.0
py_tabs,nat2alt,5,1.0,0.36,0.0
py_tabs,nat2alt,5,2.0,0.96,0.0
py_tabs,nat2alt,5,4.0,0.98,0.0
py_tabs,nat2alt,6,0.5,0.0,0.0
py_tabs,nat2alt,6,1.0,0.32,0.0
py_tabs,nat2alt,6,2.0,0.94,0.0
py_tabs,nat2alt,6,4.0,0.96,0.0
py_tabs,nat2alt,7,0.5,0.0,0.0
py_tabs,nat2alt,7,1.0,0.24,0.0
py_tabs,nat2alt,7,2.0,0.94,0.0
py_tabs,nat2alt,7,4.0,0.98,0.0
py_tabs,nat2alt,8,0.5,0.0,0.0
py_tabs,nat2alt,8,1.0,0.22,0.0
py_tabs,nat2alt,8,2.0,0.92,0.0
py_tabs,nat2alt,8,4.0,0.98,0.0
py_tabs,nat2alt,9,0.5,0.0,0.0
py_tabs,nat2alt,9,1.0,0.24,0.0
py_tabs,nat2alt,9,2.0,0.96,0.0
py_tabs,nat2alt,9,4.0,1.0,0.0
py_tabs,nat2alt,10,0.5,0.0,0.0
py_tabs,nat2alt,10,1.0,0.32,0.0
py_tabs,nat2alt,10,2.0,0.98,0.0
py_tabs,nat2alt,10,4.0,0.98,0.0
py_tabs,nat2alt,11,0.5,0.0,0.0
py_tabs,nat2alt,11,1.0,0.3,0.0
py_tabs,nat2alt,11,2.0,0.96,0.0
py_tabs,nat2alt,11,4.0,0.98,0.0
py_tabs,nat2alt,12,0.5,0.0,0.0
py_tabs,nat2alt,12,1.0,0.32,0.0
py_tabs,nat2alt,12,2.0,0.98,0.0
py_tabs,nat2alt,12,4.0,0.98,0.0
py_tabs,nat2alt,13,0.5,0.0,0.0
py_tabs,nat2alt,13,1.0,0.28,0.0
py_tabs,nat2alt,13,2.0,0.98,0.0
py_tabs,nat2alt,13,4.0,0.98,0.0
py_tabs,nat2alt,14,0.5,0.0,0.0
py_tabs,nat2alt,14,1.0,0.26,0.0
py_tabs,nat2alt,14,2.0,0.98,0.0
py_tabs,nat2alt,14,4.0,1.0,0.0
py_tabs,nat2alt,15,0.5,0.0,0.0
py_tabs,nat2alt,15,1.0,0.4,0.0
py_tabs,nat2alt,15,2.0,0.96,0.0
py_tabs,nat2alt,15,4.0,0.96,0.0
py_tabs,nat2alt,16,0.5,0.0,0.0
py_tabs,nat2alt,16,1.0,0.22,0.0
py_tabs,nat2alt,16,2.0,0.96,0.0
py_tabs,nat2alt,16,4.0,1.0,0.0
py_tabs,nat2alt,17,0.5,0.0,0.0
py_tabs,nat2alt,17,1.0,0.24,0.0
py_tabs,nat2alt,17,2.0,0.96,0.0
py_tabs,nat2alt,17,4.0,0.96,0.0
py_tabs,nat2alt,18,0.5,0.0,0.0
py_tabs,nat2alt,18,1.0,0.26,0.0
py_tabs,nat2alt,18,2.0,0.96,0.0
py_tabs,nat2alt,18,4.0,0.96,0.0
py_tabs,nat2alt,19,0.5,0.0,0.0
py_tabs,nat2alt,19,1.0,0.38,0.0
py_tabs,nat2alt,19,2.0,0.98,0.0
py_tabs,nat2alt,19,4.0,0.98,0.0
py_tabs,nat2alt,20,0.5,0.0,0.0
py_tabs,nat2alt,20,1.0,0.28,0.0
py_tabs,nat2alt,20,2.0,0.96,0.0
py_tabs,nat2alt,20,4.0,0.98,0.0
py_tabs,nat2alt,21,0.5,0.0,0.0
py_tabs,nat2alt,21,1.0,0.42,0.0
py_tabs,nat2alt,21,2.0,0.96,0.0
py_tabs,nat2alt,21,4.0,0.98,0.0
py_tabs,nat2alt,22,0.5,0.0,0.0
py_tabs,nat2alt,22,1.0,0.32,0.0
py_tabs,nat2alt,22,2.0,0.9,0.0
py_tabs,nat2alt,22,4.0,0.98,0.0
py_tabs,nat2alt,23,0.5,0.0,0.0
py_tabs,nat2alt,23,1.0,0.06,0.0
py_tabs,nat2alt,23,2.0,0.62,0.0
py_tabs,nat2alt,23,4.0,0.54,0.0
py_tabs,nat2alt,24,0.5,0.0,0.0
py_tabs,nat2alt,24,1.0,0.0,0.0
py_tabs,nat2alt,24,2.0,0.24,0.0
py_tabs,nat2alt,24,4.0,0.76,0.0
py_tabs,nat2alt,25,0.5,0.0,0.0
py_tabs,nat2alt,25,1.0,0.0,0.0
py_tabs,nat2alt,25,2.0,0.0,0.0
py_tabs,nat2alt,25,4.0,0.0,0.0
py_tabs,nat2alt,26,0.5,0.0,0.0
py_tabs,nat2alt,26,1.0,0.0,0.0
py_tabs,nat2alt,26,2.0,0.0,0.0
py_tabs,nat2alt,26,4.0,0.0,0.0
py_tabs,nat2alt,27,0.5,0.0,0.0
py_tabs,nat2alt,27,1.0,0.0,0.0
py_tabs,nat2alt,27,2.0,0.0,0.0
py_tabs,nat2alt,27,4.0,0.0,0.0
py_ternary,alt2nat,0,0.5,0.0,0.0
py_ternary,alt2nat,0,1.0,0.02,0.0
py_ternary,alt2nat,0,2.0,0.02,0.0
py_ternary,alt2nat,0,4.0,0.08,0.0
py_ternary,alt2nat,1,0.5,0.0,0.0
py_ternary,alt2nat,1,1.0,0.0,0.0
py_ternary,alt2nat,1,2.0,0.0,0.0
py_ternary,alt2nat,1,4.0,0.18,0.0
py_ternary,alt2nat,2,0.5,0.02,0.0
py_ternary,alt2nat,2,1.0,0.0,0.0
py_ternary,alt2nat,2,2.0,0.02,0.0
py_ternary,alt2nat,2,4.0,0.2,0.0
py_ternary,alt2nat,3,0.5,0.0,0.0
py_ternary,alt2nat,3,1.0,0.0,0.0
py_ternary,alt2nat,3,2.0,0.04,0.0
py_ternary,alt2nat,3,4.0,0.08,0.0
py_ternary,alt2nat,4,0.5,0.02,0.0
py_ternary,alt2nat,4,1.0,0.0,0.0
py_ternary,alt2nat,4,2.0,0.0,0.0
py_ternary,alt2nat,4,4.0,0.16,0.0
py_ternary,alt2nat,5,0.5,0.0,0.0
py_ternary,alt2nat,5,1.0,0.02,0.0
py_ternary,alt2nat,5,2.0,0.02,0.0
py_ternary,alt2nat,5,4.0,0.08,0.0
py_ternary,alt2nat,6,0.5,0.0,0.0
py_ternary,alt2nat,6,1.0,0.0,0.0
py_ternary,alt2nat,6,2.0,0.02,0.0
py_ternary,alt2nat,6,4.0,0.08,0.0
py_ternary,alt2nat,7,0.5,0.0,0.0
py_ternary,alt2nat,7,1.0,0.0,0.0
py_ternary,alt2nat,7,2.0,0.0,0.0
py_ternary,alt2nat,7,4.0,0.12,0.0
py_ternary,alt2nat,8,0.5,0.0,0.0
py_ternary,alt2nat,8,1.0,0.0,0.0
py_ternary,alt2nat,8,2.0,0.02,0.0
py_ternary,alt2nat,8,4.0,0.08,0.0
py_ternary,alt2nat,9,0.5,0.0,0.0
py_ternary,alt2nat,9,1.0,0.0,0.0
py_ternary,alt2nat,9,2.0,0.0,0.0
py_ternary,alt2nat,9,4.0,0.08,0.0
py_ternary,alt2nat,10,0.5,0.0,0.0
py_ternary,alt2nat,10,1.0,0.0,0.0
py_ternary,alt2nat,10,2.0,0.02,0.0
py_ternary,alt2nat,10,4.0,0.1,0.0
py_ternary,alt2nat,11,0.5,0.02,0.0
py_ternary,alt2nat,11,1.0,0.02,0.0
py_ternary,alt2nat,11,2.0,0.0,0.0
py_ternary,alt2nat,11,4.0,0.08,0.0
py_ternary,alt2nat,12,0.5,0.02,0.0
py_ternary,alt2nat,12,1.0,0.02,0.0
py_ternary,alt2nat,12,2.0,0.02,0.0
py_ternary,alt2nat,12,4.0,0.08,0.0
py_ternary,alt2nat,13,0.5,0.0,0.0
py_ternary,alt2nat,13,1.0,0.02,0.0
py_ternary,alt2nat,13,2.0,0.0,0.0
py_ternary,alt2nat,13,4.0,0.1,0.0
py_ternary,alt2nat,14,0.5,0.0,0.0
